county_fips,county_name,acs_vintage,edu_total,edu_less_than_hs,edu_hs_equiv,edu_some_col_assoc,edu_bachelors_only,edu_grad_professional,edu_less_than_hs_pct,edu_hs_equiv_pct,edu_some_col_assoc_pct,edu_bachelors_only_pct,edu_grad_professional_pct,district_name,school_year,grad_rate_pct,cohort_total,in_core_11
13013,Barrow,1yr,64979,7072,20484,22365,9334,5724,10.9,31.5,34.4,14.4,8.8,Barrow County,2024-25,92.68,1161,False
13015,Bartow,1yr,82505,10846,24585,25420,14165,7489,13.1,29.8,30.8,17.2,9.1,Bartow County,2024-25,95.38,1060,False
13015,Bartow,1yr,82505,10846,24585,25420,14165,7489,13.1,29.8,30.8,17.2,9.1,Cartersville City,2024-25,92.23,386,False
13045,Carroll,1yr,83199,9322,28387,24499,13940,7051,11.2,34.1,29.4,16.8,8.5,Carroll County,2024-25,97.7,1129,False
13045,Carroll,1yr,83199,9322,28387,24499,13940,7051,11.2,34.1,29.4,16.8,8.5,Carrollton City,2024-25,92.81,445,False
13057,Cherokee,1yr,203990,13829,40693,55454,59184,34830,6.8,19.9,27.2,29.0,17.1,Cherokee County,2024-25,91.76,3481,True
13063,Clayton,1yr,192978,26832,61126,59856,29257,15907,13.9,31.7,31.0,15.2,8.2,Clayton County,2024-25,86.32,4131,True
13067,Cobb,1yr,542178,38519,96655,124399,171993,110612,7.1,17.8,22.9,31.7,20.4,Cobb County,2024-25,89.15,9574,True
13067,Cobb,1yr,542178,38519,96655,124399,171993,110612,7.1,17.8,22.9,31.7,20.4,Marietta City,2024-25,92.18,639,True
13077,Coweta,1yr,109198,9823,27564,32483,22836,16492,9.0,25.2,29.7,20.9,15.1,Coweta County,2024-25,92.33,1787,False
13085,Dawson,5yr,21652,2167,5604,5992,4960,2929,10.0,25.9,27.7,22.9,13.5,Dawson County,2024-25,96.6,294,False
13089,DeKalb,1yr,533266,49558,99785,125314,146304,112305,9.3,18.7,23.5,27.4,21.1,City Schools of Decatur,2024-25,96.04,454,True
13089,DeKalb,1yr,533266,49558,99785,125314,146304,112305,9.3,18.7,23.5,27.4,21.1,DeKalb County,2024-25,81.64,6940,True
13097,Douglas,1yr,100301,9496,27886,33500,17652,11767,9.5,27.8,33.4,17.6,11.7,Douglas County,2024-25,90.74,2312,True
13113,Fayette,1yr,87958,3772,14275,21248,31527,17136,4.3,16.2,24.2,35.8,19.5,Fayette County,2024-25,95.27,1712,True
13117,Forsyth,1yr,189442,9654,29900,38198,69083,42607,5.1,15.8,20.2,36.5,22.5,Forsyth County,2024-25,97.0,4370,True
13121,Fulton,1yr,762945,39908,110612,149493,265240,197692,5.2,14.5,19.6,34.8,25.9,Atlanta Public Schools,2024-25,90.48,3423,True
13121,Fulton,1yr,762945,39908,110612,149493,265240,197692,5.2,14.5,19.6,34.8,25.9,Fulton County,2024-25,91.93,7934,True
13135,Gwinnett,1yr,655260,79445,143939,166082,167938,97856,12.1,22.0,25.3,25.6,14.9,Buford City,2024-25,93.3,448,True
13135,Gwinnett,1yr,655260,79445,143939,166082,167938,97856,12.1,22.0,25.3,25.6,14.9,Gwinnett County,2024-25,85.39,15931,True
13139,Hall,1yr,150043,27194,40711,36945,26451,18742,18.1,27.1,24.6,17.6,12.5,Buford City,2024-25,93.3,448,False
13139,Hall,1yr,150043,27194,40711,36945,26451,18742,18.1,27.1,24.6,17.6,12.5,Gainesville City,2024-25,91.44,689,False
13139,Hall,1yr,150043,27194,40711,36945,26451,18742,18.1,27.1,24.6,17.6,12.5,Hall County,2024-25,88.49,2328,False
13151,Henry,1yr,171870,9866,51353,54992,32964,22695,5.7,29.9,32.0,19.2,13.2,Henry County,2024-25,89.77,4203,True
13217,Newton,1yr,80844,6398,25772,25704,13730,9240,7.9,31.9,31.8,17.0,11.4,Newton County,2024-25,90.49,1609,False
13223,Paulding,1yr,124435,7818,36266,42445,25083,12823,6.3,29.1,34.1,20.2,10.3,Paulding County,2024-25,91.61,2717,False
13247,Rockdale,1yr,66584,4670,18143,21715,11694,10362,7.0,27.2,32.6,17.6,15.6,Rockdale County,2024-25,89.52,1346,True
13255,Spalding,1yr,48889,6976,19551,13828,6206,2328,14.3,40.0,28.3,12.7,4.8,Griffin-Spalding County,2024-25,90.94,673,False
13297,Walton,1yr,73647,6943,24274,21528,12413,8489,9.4,33.0,29.2,16.9,11.5,Social Circle City,2024-25,88.65,141,False
13297,Walton,1yr,73647,6943,24274,21528,12413,8489,9.4,33.0,29.2,16.9,11.5,Walton County,2024-25,93.99,1099,False
