county_name,pop_2020,pop_2050,emp_2020,emp_2050,hh_2020,hh_2050,pop_net_increase,pop_pct_increase,emp_net_increase,emp_pct_increase,county_fips,in_core_11
Barrow,83505,142904,22361,26618,28727,52681,59399,71.1,4257,19.0,13013,False
Bartow,108901,149854,43572,55838,40045,57033,40953,37.6,12266,28.2,13015,False
Carroll,119148,142613,51419,60060,42859,53986,23465,19.7,8641,16.8,13045,False
Cherokee,266620,408837,72882,96133,95916,152949,142217,53.3,23251,31.9,13057,True
Clayton,297595,348006,145086,167363,106200,127579,50411,16.9,22277,15.4,13063,True
Cobb,766149,914448,415121,495388,291639,360871,148299,19.4,80267,19.3,13067,True
Coweta,146158,220225,46970,61201,53596,82673,74067,50.7,14231,30.3,13077,False
Dawson,26798,39758,10198,11264,10313,15691,12960,48.4,1066,10.5,13085,False
DeKalb,764382,880195,378651,452724,302243,352021,115813,15.2,74073,19.6,13089,True
Douglas,144237,179227,52730,67066,51024,65992,34990,24.3,14336,27.2,13097,True
Fayette,119194,143785,52845,65606,42886,52593,24591,20.6,12761,24.1,13113,True
Forsyth,251283,450124,87319,106208,83551,162731,198841,79.1,18889,21.6,13117,True
Fulton,1066710,1321079,906973,1115354,448577,580993,254369,23.8,208381,23.0,13121,True
Gwinnett,957062,1200534,410213,494912,316708,430639,243472,25.4,84699,20.6,13135,True
Hall,203136,270132,96960,113437,71022,99769,66996,33.0,16477,17.0,13139,False
Henry,240712,346392,69772,89287,82794,126953,105680,43.9,19515,28.0,13151,True
Newton,112483,169013,31407,38920,39477,62341,56530,50.3,7513,23.9,13217,False
Paulding,168661,270096,32595,40694,56911,97928,101435,60.1,8099,24.8,13223,False
Rockdale,93570,112397,41688,50183,33114,40823,18827,20.1,8495,20.4,13247,True
Spalding,67306,78826,28703,38213,25726,31715,11520,17.1,9510,33.1,13255,False
Walton,96673,145977,27286,33203,33924,54103,49304,51.0,5917,21.7,13297,False
